"id","rating","raters"
357,3.55,2974
358,3.98,73716
359,3.83,126141
360,3.53,41684
361,3.6,55819
362,3.81,48423
363,3.51,72032
364,3.61,64171
365,3.65,56747
366,4.12,52712
367,3.25,30888
368,3.62,35678
369,3.52,21741
370,3.73,3415
371,3.38,17194
372,3.68,21627
373,3.73,18978
374,3.71,52844
375,3.63,7715
376,3.61,9228
377,4.11,11495
378,3.35,32905
379,3.66,30825
380,3.73,13154
381,4.04,13857
382,4.01,5124
383,3.56,6329
384,3.46,28747
385,3.53,24544
386,3.61,32628
387,4.02,11786
388,3.46,6121
389,4.22,3187
390,3.28,4813
391,3.38,41739
392,3.73,14204
393,3.27,38840
394,3.51,37056
395,3.82,8072
396,3.85,15868
397,3.79,5194
398,3.56,3720
399,3.72,13105
400,3.33,701
401,3.62,19003
402,3.6,15950
403,3.67,8919
404,4.07,6642
405,3.98,2623
406,3.63,13402
407,3.92,7442
408,3.93,8235
409,4.01,5349
410,3.54,4699
411,3.5,7769
412,3.26,4735
413,3.57,7044
414,3.69,6798
415,3.34,6958
416,3.75,11735
417,3.55,7409
418,3.75,410
419,4.08,1761
420,3.64,7360
421,3.81,3148
422,3.83,3793
423,3.61,8630
424,3.53,21987
425,3.6,3873
426,3.85,2482
427,3.6,6131
428,3.77,4166
429,3.54,1446
430,4.06,1895
431,3.55,2061
432,3.35,3893
433,3.59,14134
434,3.35,11119
435,3.59,1890
436,3.85,4788
437,3.52,4088
438,3.54,3911
439,3.27,1753
440,3.56,4858
441,3.99,2539
442,3.55,1293
443,3.26,1597
444,3.54,141
445,3.27,3982
446,4.05,403
447,3.54,670
448,3.59,630
449,3.82,542
450,4.56,167969
451,4.64,146768
452,4.35,121790
453,4.08,38792
454,4,160195
455,4.3,102019
456,3.89,143823
457,3.97,122407
458,3.98,143233
459,4.08,85536
460,4,75563
461,4.24,40760
462,4.16,71096
463,4.07,80412
464,3.93,135754
465,3.97,77011
466,4,118668
467,4.5,81444
468,4.29,32185
469,3.83,114929
470,3.85,72983
471,4,78031
472,4.05,60043
473,4.16,36813
474,4.07,71331
475,4.69,17152
476,3.91,47941
477,3.93,79406
478,4.01,59020
479,4.05,54097
480,4.36,30311
481,4.04,38733
482,4.02,30388
483,3.89,49446
484,4.08,43207
485,4.01,7671
486,3.92,58396
487,3.86,62394
488,4.2,49938
489,4.14,49504
490,3.9,65603
491,4.01,19425
492,4.05,135726
493,4.13,22376
494,4.31,26152
495,3.94,153069
496,4.14,21933
497,3.75,29200
498,4.66,17860
499,4.18,33006
500,4.12,27143
501,3.79,73289
502,3.88,11477
503,3.91,22505
504,4.55,18697
505,4.42,25945
506,3.81,60357
507,3.95,68367
508,3.97,32184
509,3.81,57185
510,3.78,62375
511,3.93,67324
512,4.25,21926
513,3.99,14443
514,3.86,13548
515,4.45,25185
516,3.79,37195
